ime_drzave,ime_izvajalca
Cyprus,Lia Vishy
Greece,Takis Biniaris
Portugal,Adelaïde
Belgium,Linda Lepomme
Belgium,Sandra Kim
Switzerland,Daniela Simons
Luxembourg,Sherisse Laurence
Ireland,Luv Bug
Sweden,Lasse Holm & Monica Törnell
Denmark,Lise Haavik and Trax
United Kingdom,Ryder
Germany,Ingrid Peters
Turkey,Klips ve Onlar
Spain,Cadillac
Yugoslavia,Doris Dragović
Norway,Ketil Stokkan
Netherlands,Frizzle Sizzle
Portugal,Dora
Finland,Kari Kuivalainen
Iceland,Icy
France,Cocktail Chic
Austria,Timna Brauer
Israel,Moti Galadi and Sarai Tzuriel
Cyprus,Elpida
Ireland,Johnny Logan
Germany,Wind
Italy,Umberto Tozzi and Raf
Yugoslavia,Novi Fosili
Netherlands,Marcha
Denmark,Anne-Cathrine Herdorf
Cyprus,Alexia
Israel,Datner and Kushnir
Norway,Kate Gulbrandsen
Greece,Bang
Belgium,Liliane Saint-Pierre
Sweden,Lotta Engberg
United Kingdom,Rikki
France,Christine Minier
Finland,Vicky Rosti
Iceland,Halla Margarét
Switzerland,Carole Rich
Portugal,Nevada
Spain,Patricia Kraus
Austria,Gary Lux
Luxembourg,Plastic Bertrand
Turkey,Seyyal Tanner & Lokomotif
Switzerland,Céline Dion
United Kingdom,Scott Fitzgerald
Denmark,Kirsten & Søren
Luxembourg,Lara Fabian
Norway,Karoline Krüger
Yugoslavia,Srebrna Krila
Israel,Yardena Arazi
Ireland,Jump the Gun
Netherlands,Gerard Joling
France,Gérard Lenorman
Spain,La Década
Sweden,Tommy Körberg
Italy,Luca Barbarossa
Germany,Maxi and Chris Garden
Turkey,MFÖ
Iceland,Beathoven
Greece,Aphroditi Fryda
Belgium,Reynaert
Portugal,Dora
Finland,Boulevard
Austria,Wilfried
Yugoslavia,Riva
United Kingdom,Live Report
Denmark,Birthe Kjær
Sweden,Tommy Nilsson
Austria,Thomas Forstner
Spain,Nina
Finland,Anneli Saaristo
France,Nathalie Pâque
Italy,Anna Oxa and Fausto Leali
Greece,Marianna
Cyprus,Fanny Polymeri and Yiannis Savvidakis
Israel,Gili & Galit
Switzerland,Furbaz
Germany,Nino de Angelo
Netherlands,Justine Pelmelay
Portugal,Da Vinci
Norway,Britt Synnøve Johansen
Ireland,Kiev Connolly and the Missing Passengers
Belgium,Ingeborg
Luxembourg,Park Café
Turkey,Pan
Iceland,Daníel Augúst Haraldsson
Italy,Toto Cutugno
France,Joelle Ursull
Ireland,Liam Reilly
Iceland,Stjórnin
Spain,Azúcar Moreno
United Kingdom,Emma
Yugoslavia,Tajci
Denmark,Lonnie Devantier
Germany,Chris Kempers and Daniel Kovac
Austria,Simone
Switzerland,Egon Egemann
Belgium,Philippe Lafontaine
Luxembourg,Céline Carzo
Cyprus,Haris Anastasiou
Netherlands,Maywood
Sweden,Edin-Ådahl
Turkey,Kayahan
Israel,Rita
Greece,Christos Callow and Wave
Portugal,Nucha
Norway,Ketil Stokkan
Finland,Beat
Sweden,Carola
France,Amina
Israel,Duo Datz
Spain,Sergio Dalma
Switzerland,Sandra Simò
Malta,Paul Giordimaina and Georgina
Italy,Peppino di Capri
Portugal,Dulce
Cyprus,Elena Patroclou
Ireland,Kim Jackson
United Kingdom,Samantha Janus
Turkey,"Izel Çeliköz, Rayhan Soykarçi and Can Ugurluér"
Greece,Sofia Vossou
Luxembourg,Sarah Bray
Iceland,Stefán and Eyfi
Belgium,Clouseau
Norway,Just 4 Fun
Germany,Atlantis 2000
Denmark,Anders Frandsen
Finland,Kaija
Yugoslavia,Baby Doll
Austria,Thomas Forstner
Ireland,Linda Martin
United Kingdom,Michael Ball
Malta,Mary Spiteri
Italy,Mia Martini
Greece,Cleopatra
Israel,Dafna
Iceland,Heart 2 Heart
France,Kali
Netherlands,Humphrey Campbell
Austria,Tony Wegas
Cyprus,Evridiki
Denmark,Kenny & Lotte
Yugoslavia,Extra Nena
Spain,Serafin
Switzerland,Daisy Auvray
Germany,Wind
Portugal,Diná
Norway,Merethe Trøan
Turkey,Aylin Vatankos
Belgium,Morgane
Luxembourg,Marion Welter and Kontinent
Sweden,Christer Björkman
Finland,Pave
Ireland,Niamh Kavanagh
United Kingdom,Sonia
Switzerland,Annie Cotton
France,Patrick Fiori
Norway,Silje Vige
Netherlands,Ruth Jacott
Sweden,Arvingarna
Malta,William Mangion
Greece,Kaiti Garbi
Portugal,Anabela
Spain,Eva Santamaria
Italy,Enrico Ruggeri
Iceland,Inga
Austria,Tony Wegas
Croatia,Put
Bosnia & Herzegovina,Fazla
Finland,Katri-Helena
Germany,Münchener Freiheit
Cyprus,Kyriakos Zymboulakis & Demos Van Beke
Luxembourg,Modern Times
Turkey,"Burak Aydos, Öztürk Baybora & Serter"
Denmark,Tommy Seebach Band
Slovenia,1X Band
Israel,Lakahat Shiru
Belgium,Barbara
Ireland,Paul Harrington & Charlie McGettigan
Poland,Edyta Górniak
Germany,MeKaDo
Hungary,Friderika Bayer
Malta,Moira Stafrace and Christopher Scicluna
Norway,Elisabeth Andreasson & Jan Werner Danielsen
France,Nina Morato
Portugal,Sara Tavares
Russia,Youddiph
United Kingdom,Frances Ruffelle
Cyprus,Evridiki
Iceland,Sigga
Sweden,Marie Bergman and Roger Pontare
Greece,Costas Bigalis and the Sea Lovers
Bosnia & Herzegovina,Alma and Dejan
Croatia,Tony Cetinski
Austria,Petra Frey
Spain,Alejandro Abad
Switzerland,Duilio
Slovakia,Martin Durinda and Tublatanka
Romania,Dan Bittman
Finland,CatCat
Netherlands,Willeke Alberti
Estonia,Silvi Vrait
Lithuania,Ovidijus Vyšniauskas
Norway,Secret Garden
Spain,Anabel Conde
Sweden,Jan Johansen
France,Nathalie Santamaria
Denmark,Aud Wilken
Croatia,Magazin and Lidija
Slovenia,Darja Svajger
Israel,Liora
Cyprus,Alexandros Panayi
United Kingdom,Love City Groove
Malta,Mike Spiteri
Greece,Elina Constantopoulou
Austria,Stella Jones
Ireland,Eddie Friel
Iceland,Bó Halldórsson
Turkey,Arzu Ece
Russia,Philipp Kirkorov
Poland,Justyna
Bosnia & Herzegovina,Davor Popovic
Belgium,Frédéric Etherlinck
Portugal,Tó Cruz
Hungary,Czaba Szigeti
Germany,Stone and Stone
Ireland,Eimear Quinn
Norway,Elisabeth Andreasson
Sweden,One More Time
Croatia,Maja Blagdan
Estonia,Ivo Linna and Maarja-Liis Ilus
Portugal,Lúcia Moniz
Netherlands,Maxine & Franklin Brown
United Kingdom,Gina G
Cyprus,Constantinos
Malta,Miriam Christine
Austria,George Nußbaumer
Turkey,Şebnem Paker
Iceland,Anna Mjöll
Greece,Marianna Efstratiou
Poland,Kasia Kowalska
Switzerland,Cathy Leander
Belgium,Lisa del Bo
Slovakia,Marcel Palonder
France,Dan Ar Braz et l'Héritage des Celtes
Spain,Antonio Carbonell
Slovenia,Regina
Bosnia & Herzegovina,Amila Glamocak
Finland,Jasmine
United Kingdom,Katrina and The Waves
Ireland,Marc Roberts
Turkey,Sebnem Paker and Group Etnic
Italy,Jalisse
Cyprus,Chara and Andreas Konstantinou
Spain,Marcos Llunas
France,Fanny
Estonia,Maarja-Liis Ilus
Malta,Debbie Scerri
Slovenia,Tanja Ribič
Poland,Anna Maria Jopek
Greece,Marianna Zorba
Hungary,VIP
Sweden,Blond
Russia,Alla Pugachova
Denmark,Kølig Kaj
Croatia,ENI
Germany,Bianca Shomburg
Bosnia & Herzegovina,Alma Cardzic
Iceland,Paul Oscar
Austria,Bettina Soriat
Switzerland,Barbara Berta
Netherlands,Mrs. Einstein
Norway,Tor Endresen
Portugal,Célia Lawson
Israel,Dana International
United Kingdom,Imaani
Malta,Chiara
Netherlands,Edsilia Rombley
Croatia,Danijela
Belgium,Mélanie Cohl
Germany,Guildo Horn
Norway,Lars A. Fredriksen
Ireland,Dawn
Sweden,Jill Johnson
Cyprus,Michael Hajiyanni
Portugal,Alma Lusa
Estonia,Koit Toome
Turkey,Tüzmen
Finland,Edea
Spain,Mikel Herzog
Poland,Sixteen
Slovenia,Vili Resnik
North Macedonia,Vlado Janevski
Greece,Dionysia and Thalassa group
Slovakia,Katarína Hasprová
Romania,Malina Olinescu
Hungary,Charlie
France,Marie-Line
Switzerland,Gunvor
Sweden,Charlotte Nilsson
Iceland,Selma Björnsdóttir
Germany,Sürpriz
Croatia,Doris Dragović
Israel,Eden
Estonia,Evelin Samuel and Camille
Bosnia & Herzegovina,Dino and Beatrice
Denmark,Trine Jepsen & Michael Teschl
Netherlands,Marlayne
Austria,Bobbie Singer
Slovenia,Darja Svajger
Belgium,Venessa Chinitor
United Kingdom,Precious
Norway,Stig André Van Eijk
Malta,Times 3
Turkey,Tuba Önal & Grup Mystik
Ireland,The Mullan's
Poland,Mietek Szczesniak
France,Nayah
Lithuania,Aiste Smilgeviciute
Portugal,Rui Bandeira
Cyprus,Marlain Angelidou
Spain,Lydia
Denmark,Olsen brothers
Russia,Alsou
Latvia,BrainStorm
Estonia,Ines
Germany,Stefan Raab
Ireland,Eamonn Toal
Sweden,Roger Pontare
Malta,Claudette Pace
Croatia,Goran Karan
Turkey,Pinar Ayhan & S.O.S. band
Norway,Charmed
Iceland,August & Telma
Netherlands,Linda Wagenmakers
Austria,The rounder girls
North Macedonia,XXL
United Kingdom,Nicki French
Romania,Taxi
Spain,Serafín Zubiri
Finland,Nina Åström
Switzerland,Jane Bogaert
Cyprus,Voice
Israel,Ping Pong
France,Sofia Mestari
Belgium,Nathalie Sorce
Estonia,"Tanel Padar, Dave Benton & 2XL"
Denmark,Rollo & King
Greece,Antique
France,Natasha Saint-Pier
Sweden,Friends
Spain,David Civera
Slovenia,Nua Derenda
Germany,Michelle
Malta,Fabrizio Faniello
Croatia,Vanna
Turkey,Sedat Yüce
Russia,Mumiy troll
Lithuania,Skamp
Bosnia & Herzegovina,Nino
United Kingdom,Lindsay D.
Israel,Tal Sondak
Portugal,MTM
Netherlands,Michelle
Latvia,Arnis Mednis
Poland,Piasek
Ireland,Gary O'Shaughnessy
Iceland,TwoTricky
Norway,Haldor Lægreid
Latvia,Marie N
Malta,Ira Losco
United Kingdom,Jessica Garlick
Estonia,Sahléne
France,Sandrine François
Cyprus,One
Spain,Rosa
Sweden,Afro-dite
Romania,Monica Anghel & Marcel Pavel
Russia,Prime minister
Croatia,Vesna Pisarovic
Israel,Sarit Hadad
Bosnia & Herzegovina,Maja
Belgium,Sergio & the Ladies
Slovenia,Sestre
Turkey,Buket Bengisu & Saphire
Greece,Michalis Rakintzis
Austria,Manuel Ortega
North Macedonia,Karolina
Finland,Laura
Germany,Corinna May
Switzerland,Francine Jordi
Lithuania,Aivaras
Denmark,Malene
Turkey,Sertab Erener
Belgium,Urban Trad
Russia,t.A.T.u.
Norway,Jostein Hasselgård
Sweden,Fame
Austria,Alf Poier
Poland,Ich Troje
Iceland,Birgitta
Spain,Beth
Romania,Nicola
Ireland,Mickey Harte
Germany,Lou
Netherlands,Esther Hart
Ukraine,Olexandr
Croatia,Claudia Beni
Bosnia & Herzegovina,Mija Martina
Greece,Mando
France,Louisa Baileche
Israel,Lior Narkis
Cyprus,Stelios Constantas
Estonia,Ruffus
Portugal,Rita Guerra
Slovenia,Karmen
Latvia,F.L.Y.
Malta,Lynn Chirchop
United Kingdom,Jemini
Ukraine,Ruslana
Serbia & Montenegro,Željko Joksimović
Greece,Sakis Rouvas
Turkey,Athena
Cyprus,Lisa Andreas
Sweden,Lena Philipsson
Albania,Anjeza Shahini
Germany,Max
Bosnia & Herzegovina,Deen
Spain,Ramón
Russia,Julia Savicheva
Malta,Julie & Ludwig
Croatia,Ivan Mikulic
North Macedonia,Tose Proeski
France,Jonatan Cerrada
United Kingdom,James Fox
Poland,Blue Cafe
Romania,Sanda Ladosi
Iceland,Jónsi
Netherlands,Re-union
Austria,Tie Break
Belgium,Xandee
Ireland,Chris Doran
Norway,Knut Anders Sørum
Estonia,Neiokõsõ
Israel,David D'or
Denmark,Tomas Thordarson
Finland,Jari Sillanpää
Portugal,Sofia
Lithuania,Linas ir Simona
Latvia,Fomins & Kleins
Andorra,Marta Roure
Belarus,Aleksandra & Konstantin
Monaco,Maryon
Slovenia,Platin
Switzerland,Piero Esteriore & the MusicStars
Greece,Helena Paparizou
Malta,Chiara
Romania,Luminita Anghel & Sistem
Israel,Shiri Maymon
Latvia,Walter & Kazha
Moldova,Zdob şi Zdub
Serbia & Montenegro,No Name
Switzerland,Vanilla Ninja
Norway,Wig Wam
Denmark,Jakob Sveistrup
Croatia,Boris Novkovic feat. Lado members
Hungary,NOX
Turkey,Gülseren
Bosnia & Herzegovina,Feminnem
Russia,Natalia Podolskaya
Albania,Ledina Celo
North Macedonia,Martin Vucic
Cyprus,Constantinos Christoforou
Sweden,Martin Stenmarck
Ukraine,Greenjolly
Spain,Son de sol
United Kingdom,Javine
France,Ortal
Germany,Gracia
Poland,Ivan & Delfin
Slovenia,Omar Naber
Belarus,Angelica Agurbash
Netherlands,Glennis Grace
Ireland,Donna and Joseph McCaul
Iceland,Selma
Portugal,2B
Finland,Geir Rönning
Bulgaria,Kaffe
Estonia,Suntribe
Austria,Global.Kryner
Belgium,Nuno Resende
Andorra,Marian van de Wal
Monaco,Lise Darly
Lithuania,Laura and the Lovers
Finland,Lordi
Russia,Dima Bilan
Bosnia & Herzegovina,Hari Mata Hari
Romania,Mihai Traistariu
Sweden,Carola
Lithuania,LT United
Ukraine,Tina Karol
Armenia,André
Greece,Anna Vissi
Ireland,Brian Kennedy
Turkey,Sibel Tüzün
North Macedonia,Elena Risteska
Croatia,Severina
Norway,Christine Guldbrandsen
Germany,Texas Lightning
Switzerland,Six4One
Latvia,Cosmos
Denmark,Sidsel Ben Semmane
United Kingdom,Daz Sampson
Moldova,Arsenium & Natalia Gordienko
Spain,Las Ketchup
France,Virginie Pouchin
Israel,Eddie Butler
Malta,Fabrizio Faniello
Poland,Ich Troje
Belgium,Kate Ryan
Iceland,Silvia Night
Albania,Luiz Ejlli
Cyprus,Annet Artani
Slovenia,Anej Dean
Bulgaria,Mariana Popova
Estonia,Sandra
Portugal,Nonstop
Netherlands,Treble
Monaco,Séverine Ferrer
