leto,ime_drzave,ime_izvajalca,naslov_pesmi,mesto,tocke_v_finalu,youtube_link
2011,North Macedonia,Vlatko Ilievski,Rusinka,36.0,,https://youtube.com/watch?v=JrCOhclzLbE
2011,San Marino,Senit,Stand By,37.0,,https://youtube.com/watch?v=TTCBm8Z2CrY
2011,Norway,Stella Mwangi,Haba Haba,38.0,,https://youtube.com/watch?v=cRhJzdDFFHA
2011,Latvia,Musiqq,Angel In Disguise,39.0,,https://youtube.com/watch?v=qBTMLCloxBw
2011,Portugal,Homens Da Luta,Luta É Alegria,40.0,,https://youtube.com/watch?v=bEPCC3_COLs
2011,Poland,Magdalena Tul,Jestem,41.0,,https://youtube.com/watch?v=6u4uznE0GxI
2011,Cyprus,Christos Mylordos,San Aggelos S'agapisa,42.0,,https://youtube.com/watch?v=1t0czUf9nJU
2011,Netherlands,3JS,Never Alone,43.0,,https://youtube.com/watch?v=oJ6T43D82KY
2012,Sweden,Loreen,Euphoria,1.0,372.0,https://youtube.com/watch?v=Pfo-8z86x80
2012,Russia,Buranovskiye Babushki,Party For Everybody,2.0,259.0,https://youtube.com/watch?v=BgUstrmJzyc
2012,Serbia,Željko Joksimović,Nije Ljubav Stvar,3.0,214.0,https://youtube.com/watch?v=R9x9VbJzaDQ
2012,Azerbaijan,Sabina Babayeva,When The Music Dies,4.0,150.0,https://youtube.com/watch?v=yzT7O3Fnwpk
2012,Albania,Rona Nishliu,Suus,5.0,146.0,https://youtube.com/watch?v=QeBL2UHhyEc
2012,Estonia,Ott Lepland,Kuula,6.0,120.0,https://youtube.com/watch?v=T7BaTBe0UD8
2012,Turkey,Can Bonomo,Love Me Back,7.0,112.0,https://youtube.com/watch?v=3Qa7_y21oOY
2012,Germany,Roman Lob,Standing Still,8.0,110.0,https://youtube.com/watch?v=cScJPH20P3A
2012,Italy,Nina Zilli,L'Amore È Femmina (Out Of Love),9.0,101.0,https://youtube.com/watch?v=v0kGpDEvtbQ
2012,Spain,Pastora Soler,Quédate Conmigo,10.0,97.0,https://youtube.com/watch?v=U8J1b62wOao
2012,Moldova,Pasha Parfeny,Lăutar,11.0,81.0,https://youtube.com/watch?v=vIy0EtEeLEw
2012,Romania,Mandinga,Zaleilah,12.0,71.0,https://youtube.com/watch?v=K3ruy639kTQ
2012,North Macedonia,Kaliopi,Crno I Belo,13.0,71.0,https://youtube.com/watch?v=MSuCdNEy9w0
2012,Lithuania,Donny Montell,Love Is Blind,14.0,70.0,https://youtube.com/watch?v=x2vNoZnJxgY
2012,Ukraine,Gaitana,Be My Guest,15.0,65.0,https://youtube.com/watch?v=sLsTn_li5d8
2012,Cyprus,Ivi Adamou,La La Love,16.0,65.0,https://youtube.com/watch?v=ex133UhxB64
2012,Greece,Eleftheria Eleftheriou,Aphrodisiac,17.0,64.0,https://youtube.com/watch?v=NreIi8ma_PY
